類型,韓文台詞
浪漫、感人,후회할 짓 하지 마라.후회는 현실에서 겪는 가장 큰 지옥이니까
浪漫、感人,어머님만 포기하지 않으면 저희가 먼저 포기하는 일은 없습니다.
浪漫、感人,사람들이 헤어지려고 할 때 거짓말쟁이가 되지는 않을 것입니다
浪漫、感人,사람은 믿을 만 해서 믿는 게 아니야. 안그러면 기댈 데가 없어 믿는거지.
浪漫、感人,"세상에는 돈, 성공 말고도 많은 가치 있는 것들이 있어 행복, 자기 만족, 세계 평화, 사랑."
浪漫、感人,인생도 어떻게 보면 외력과 내력의 싸움이야. 무슨 일이 있어도 내력이 세면 버티는거야.
浪漫、感人,"나라고 생각했던 것들, 나를 지탱하는 기둥인 줄 알았던 것들이 사실은 내 진정한 내력이 아닌 것 같다."
浪漫、感人,"가만히 보면 모든 인연이 다 신기하고 귀해, 갚아야돼. 행복하게 살아. 그게 갚는 거야."
浪漫、感人,나 오늘 엄청 스윗하지 않았나? 오늘 같이 로맨틱하고 행복한 날이 앞으로 김비서의 일상이 되게 해주지 내가 김비서와 연애 해주겠다는 뜻이야.
浪漫、感人,니가 대수롭지 않게 받아들이면 남들도 대수롭지 않게 생각해.
浪漫、感人,니가 심각하게 받아들이면 남들도 심각하게 생각하고.
浪漫、感人,모든 일이 그래. 항상 니가 먼저야.
浪漫、感人,"니가 아무것도 아니라고 생가하면, 아무것도 아니야."
浪漫、感人,복잡하고 혼란스러운 삶 속에서 자신의 일을 풀어가는 도중에 불현듯 [지금 뭐 하고 있을까?] 라고 생각하며 나 이외에 가장 우선적으로 누군가를 떠올리는 것 그것만으로도 충분한 사랑이 될 수 있다.
浪漫、感人,이런 연애가 하고 싶다 늘 일분 일초가 모두 설레진 않더라도 한 번 안아보는 것 만으로도 하루 힘듦이 모두 씻겨 내려가는 듯한 기분이 드는 연애.
浪漫、感人,"난 보고 싶을 거 같아요 . 생각날 거 같  아, 가끔... 아니 사실은 자주..."
浪漫、感人,사람이 설레는 건 끝이 어떻게 될지 모를 때거든 .
浪漫、感人,너와 함께 한 시간 모두 눈부셨다. 날이 좋아서 날이 좋지 않아서 날이 적당해서 모든 날이 좋았다.
浪漫、感人,인간의 수명 고작 백년. 돌아서 한번 더 보려는 것이 불멸의 나의 삶인가 너의 얼굴인가. 아.. 너의 얼굴인거 같다.
浪漫、感人,그럼 허락같은 핑계가 생겼으면 좋겠어. 그 핑계로 내가 계속 살아있었으면 좋겠어. 너와 같이.
浪漫、感人,"내가 딱 싫어하는 게 두 가지가 있어. 하나는 내 돈에 손 대는 거,또 하나 내 몸에 손 대는 거. 내 돈에 손 대는 꽃모가지은 잘라버렸는데,내 몸에 손댄 손모가지 어쩔까?"
浪漫、感人,"니가 태양이면,나는 다시 아침을 맞고 싶지 않아."
狗血,지금은 학종시대에요. 학종·부모의 경제력과 정보력에 따라 결정돼요. 당신은 신문도 안 봐요?
狗血,친구를 짓밟고서라도 무조건 피라미드 꼭대기에 올라야 해.
狗血,오직 결과만이 여러분의 가치를 증명한다.
狗血,경쟁은 자기 자신하고 하는 거지. 남하고 하는 경쟁은 사람을 외롭게 만들거든. 엄마는 외롭지 않은 인생을 사는 게 성공이라고 생각해.
狗血,"아이들이 이렇게 괴로워하는데, 손놓고 구경만 할 수는 없잖아요. 애들. 지켜야죠. 보호해야죠. 엄마니까."
狗血,지구는 둥근데 왜 세상이 피라미드냐고!
狗血,여기가 어디야? 여기는 헤라팰리스 펜트하우스라고!
狗血,살인? 그런 건 내가 직접 안 해.
狗血,"나도 그렇게 착한 사람은 아니야. 소중한 사람을 지키려면, 잔인해져야지."
狗血,"죽은 그 강아지, 그게 네 결말이야."
狗血,절대 안 놓쳐! (절대 가만 안 둘 거야!)
狗血,"내가 갖고 싶은 건, 부셔서라도 가져야 해!"
狗血,당장 나가! 
歷史,"다른 여인을 품길 바라느냐? 네가 세자빈이 아니라면, 나는 다른 여인을 품을 수밖에 없다."
歷史,멀어지라 명한 적 없다.
歷史,"꿈이라도 좋으니, 제발 살아남으시오."
歷史, 저하의 사람...이 되고 싶사옵니다. 
歷史,가지 마라. 내 명령이다. 
歷史,이곳은 지옥이다. 살아남는 것만이 유일한 생존이다.
歷史,어린 왕을 버릴 수는 없습니다. 우리가 그를 지켜야 합니다.
歷史,당신이 돌보던 백성이 여기 있습니다. 제가 당신의 백성이 되겠습니다.
歷史,내가... 내가 정말 왕이 맞느냐? 이토록 덧없는 삶을 살다 가는 왕이?
歷史,"나으리, 나으리께서 소중히 여기는 사람 중에 저도 포함되어 있습니까?"
歷史,물에 잠긴 바위는 내려놓지 않으면 안 된다.
歷史,서 있는 곳이 다르면 보이는 풍경도 다른 법이다!
歷史, 사람은 믿을만해서 믿는 게 아니야. 안 그러면 기댈 데가 없어서 믿는 거지.
